station,date,depth_m,parameter,value,depth.measurement,datasource,sitetype,do_flag,flag
200,2010-07-12,3,temp_C,25.6,actual,LMP DO,pelagic,NA,NA
200,2014-09-15,12,DO_mgl,5.85,actual,LMP DO,pelagic,NA,NA
200,1987-07-01,12.5,temp_C,10,actual,LMP DO,pelagic,NA,NA
200,1999-07-01,1,DO_mgl,8,actual,LMP DO,pelagic,NA,NA
200,2016-05-31,3,DO_pctsat,107.3,actual,LMP DO,pelagic,NA,NA
200,1999-09-20,3,temp_C,18.5,actual,LMP DO,pelagic,NA,NA
200,2016-05-31,2,DO_pctsat,107.1,actual,LMP DO,pelagic,NA,NA
200,1993-08-22,3,temp_C,21.7,actual,LMP DO,pelagic,NA,NA
200,2010-07-12,1,temp_C,25.7,actual,LMP DO,pelagic,NA,NA
200,1987-07-01,12,temp_C,10.5,actual,LMP DO,pelagic,NA,NA
200,1999-07-01,2,DO_mgl,7.9,actual,LMP DO,pelagic,NA,NA
200,2014-09-15,11,DO_mgl,6.49,actual,LMP DO,pelagic,NA,NA
200,1987-07-01,10.5,temp_C,11.5,actual,LMP DO,pelagic,NA,NA
200,2001-06-25,2,DO_mgl,10,actual,LMP DO,pelagic,NA,NA
200,1999-07-01,4,temp_C,23,actual,LMP DO,pelagic,NA,NA
200,1999-07-01,4,DO_mgl,8.1,actual,LMP DO,pelagic,NA,NA
200,2013-06-17,19,temp_C,9,actual,LMP DO,pelagic,NA,NA
200,1996-10-08,4,DO_pctsat,89,actual,LMP DO,pelagic,NA,NA
200,2001-06-25,9,DO_mgl,12,actual,LMP DO,pelagic,NA,NA
200,2014-08-19,0.5,DO_mgl,8.83,actual,LMP DO,pelagic,NA,NA
200,1987-07-01,18,DO_mgl,8.3,actual,LMP DO,pelagic,NA,NA
200,2003-09-22,8,DO_mgl,11.3,actual,LMP DO,pelagic,NA,NA
200,1987-07-01,16,DO_mgl,8.6,actual,LMP DO,pelagic,NA,NA
200,2002-07-29,9,DO_pctsat,100.1,actual,LMP DO,pelagic,NA,NA
200,2002-07-29,8,DO_pctsat,99.3,actual,LMP DO,pelagic,NA,NA
200,1993-08-22,2,temp_C,21.7,actual,LMP DO,pelagic,NA,NA
200,1992-08-28,13.5,temp_C,7,actual,LMP DO,pelagic,NA,NA
200,1987-07-01,9.5,temp_C,13,actual,LMP DO,pelagic,NA,NA
200,1993-08-22,1,temp_C,21.7,actual,LMP DO,pelagic,NA,NA
200,2001-06-25,8,DO_mgl,11.8,actual,LMP DO,pelagic,NA,NA
200,2010-07-12,9,temp_C,15.1,actual,LMP DO,pelagic,NA,NA
200,2017-07-18,0.5,DO_pctsat,104.3,actual,LMP DO,pelagic,NA,NA
200,2007-09-11,10,DO_pctsat,74,actual,LMP DO,pelagic,NA,NA
200,2003-09-22,10,DO_pctsat,84.5,actual,LMP DO,pelagic,NA,NA
200,2004-07-26,6,temp_C,21.9,actual,LMP DO,pelagic,NA,NA
200,1993-08-22,5,temp_C,21.5,actual,LMP DO,pelagic,NA,NA
200,2003-09-22,14,DO_pctsat,65.7,actual,LMP DO,pelagic,NA,NA
200,2006-07-24,6,temp_C,21.2,actual,LMP DO,pelagic,NA,NA
200,1999-07-01,0.5,DO_mgl,8,actual,LMP DO,pelagic,NA,NA
200,1999-07-01,3,DO_mgl,7.9,actual,LMP DO,pelagic,NA,NA
200,2015-09-21,7,DO_mgl,8.44,actual,LMP DO,pelagic,NA,NA
200,2010-07-12,11,DO_mgl,7.84,actual,LMP DO,pelagic,NA,NA
200,2002-07-29,10,DO_mgl,9.78,actual,LMP DO,pelagic,NA,NA
200,2014-09-15,9,DO_mgl,8.66,actual,LMP DO,pelagic,NA,NA
200,1996-10-08,2,DO_pctsat,84,actual,LMP DO,pelagic,NA,NA
200,2003-09-22,7,DO_mgl,11.3,actual,LMP DO,pelagic,NA,NA
200,1996-10-08,0.5,DO_pctsat,87,actual,LMP DO,pelagic,NA,NA
200,1996-10-08,3,DO_pctsat,87,actual,LMP DO,pelagic,NA,NA
200,2006-07-24,7,temp_C,17.8,actual,LMP DO,pelagic,NA,NA
200,2010-07-12,6,DO_mgl,8.3,actual,LMP DO,pelagic,NA,NA
200,1993-08-22,4,temp_C,21.7,actual,LMP DO,pelagic,NA,NA
